key,instatiationUpdateMoment,startDisplay,end-display,picture-link,slogan,target-link
banner-01,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-02,2000/01/01 00:00,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-03,2000/01/01 00:01,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-04,2022/07/30 00:00,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-05,2022/07/29 23:59,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-06,2010/12/31 23:59,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-07,2011/01/01 00:00,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-08,2016/02/27 23:59,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-09,2016/02/28 00:00,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-10,2016/02/29 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-11,2020/03/31 23:59,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-12,2020/04/01 00:00,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-13,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-14,2020/03/14 15:32,2020/03/14 15:33,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-15,2020/03/14 15:32,2020/03/14 15:34,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-16,2020/03/14 15:32,2200/12/05 23:59,2200/12/12 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-17,2020/03/14 15:32,2200/12/05 23:58,2200/12/12 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-18,2020/03/14 15:32,2023/12/31 23:59,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-19,2020/03/14 15:32,2024/01/01 00:00,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-20,2020/03/14 15:32,2024/02/27 23:59,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
